schnable2023_chr1.vcf.gz	High quality filtered variants with imputation identified in Chromsome 1.	1.2 GB	2 minutes / 16 minutes	5b576f00da277a8ee00c09013b47eb92	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650670571309#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr2.vcf.gz	High quality filtered variants with imputation identified in Chromsome 2.	938 MB	1 minute / 12 minutes	b7e2f255efb5ec460165382bee3a7f74	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650664635728#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr3.vcf.gz	High quality filtered variants with imputation identified in Chromsome 3.	915 MB	1 minute / 12 minutes	274192f88d3019bff09a2bbd5433766a	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650663656857#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr4.vcf.gz	High quality filtered variants with imputation identified in Chromsome 4.	984 MB	1 minute / 12 minutes	9f1a317b8453eec79a924a511b741fa3	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650667542321#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr5.vcf.gz	High quality filtered variants with imputation identified in Chromsome 5.	814 MB	1 minute / 11 minutes	5951fc48a862e20cf213562519fc0ff9	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650665360676#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr6.vcf.gz	High quality filtered variants with imputation identified in Chromsome 6.	631 MB	1 minute / 8 minutes	712382cc627c4eb7574d194ac1fe6541	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650660628052#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr7.vcf.gz	High quality filtered variants with imputation identified in Chromsome 7.	689 MB	1 minute / 9 minutes	e9c9155acc26ca408339db173ef17fec	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650662383182#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr8.vcf.gz	High quality filtered variants with imputation identified in Chromsome 8.	679 MB	1 minute / 9 minutes	020c567bd6bf33361be5f266ee38ce9c	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650665488594#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr9.vcf.gz	High quality filtered variants with imputation identified in Chromsome 9.	637 MB	1 minute / 9 minutes	c52b8bc2dd2e2696f5d68446671b2056	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650660611072#:~:text=file%20to%20view.-,Download,-Details
schnable2023_chr10.vcf.gz	High quality filtered variants with imputation identified in Chromsome 10.	585 MB	1 minute / 8 minutes	00016d1b7fac84b789a580fb0545e9a9	https://ars-usda.app.box.com/s/rv1vsf5k36x5d5fu28p3bzhxykfpyybs/file/1650659714132#:~:text=file%20to%20view.-,Download,-Details
